"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Kuri","paiN Gaming","Support",2,"100%","50%",2,1,24,26,"86.7%","6.7%","8.3%","100%",224,105,-0.5,1.3,"3.6%",281,"12.5%","11.0%",143,"11.1%",0,2.05,0.43,0.63
"Lonely","KaBuM! Esports","Top",2,"50%","100%",6,6,4,1.7,"52.6%","31.6%","28.6%","0%",-236,-180,-5,7.8,"23.8%",446,"20.9%","17.6%",277,"24.2%",0,0.45,0.16,0.36
"Makes","Liberty","Top",2,"0%","0%",8,16,3,0.7,"55.0%","40.0%","36.4%","0%",-204,561,10,6.9,"22.6%",604,"27.7%","25.4%",220,"23.1%",0,0.41,0.15,0.18
"Malrang","KaBuM! Esports","Jungle",2,"50%","50%",4,4,7,2.8,"57.9%","21.1%","19.0%","50%",20,-133,2.5,5.3,"14.9%",276,"13.3%","11.1%",185,"16.7%",1,0.4,0.28,0.21
"micaO","Liberty","ADC",2,"0%","50%",3,5,8,2.2,"55.0%","15.0%","11.4%","0%",-138,51,-8,8.4,"33.5%",625,"28.2%","28.5%",240,"25.8%",0,0.29,0.07,0.32
"Mir","FURIA","Jungle",2,"100%","100%",2,1,11,13,"59.1%","9.1%","12.5%","100%",181,479,12,7.4,"21.6%",228,"12.2%","14.2%",231,"18.7%",0,0.39,0.36,0.71
"Netuno","KaBuM! Esports","ADC",2,"50%","50%",3,3,2,1.7,"26.3%","15.8%","14.3%","50%",-217,-319,-4.5,8.7,"32.1%",284,"16.4%","17.1%",248,"22.1%",0,0.4,0.08,0.3
"NinjaKiwi","INTZ","ADC",2,"0%","50%",6,3,4,3.3,"76.9%","46.2%","13.0%","0%",254,358,9.5,8.6,"29.0%",854,"37.8%","41.4%",261,"27.3%",0,0.49,0.23,0.38
"Piloto","Liberty","Middle",2,"0%","50%",6,8,6,1.5,"60.0%","30.0%","18.2%","0%",-657,-811,-17,7.1,"25.2%",626,"28.2%","30.7%",218,"23.7%",0,0.5,0.26,0.17
"ProDelta","Vivo Keyd Stars","Support",2,"50%","50%",2,5,26,5.6,"80.0%","5.7%","21.7%","0%",12,6,1,1.3,"2.7%",131,"5.3%","5.1%",140,"11.2%",0,1.64,0.53,0.42
"RedBert","LOUD","Support",2,"100%","0%",2,2,22,12,"77.4%","6.5%","9.5%","0%",91,52,-0.5,0.9,"1.2%",142,"5.8%","5.3%",141,"11.1%",0,1.61,0.42,0.24
"Robo","LOUD","Top",2,"100%","50%",11,8,13,3,"77.4%","35.5%","38.1%","50%",472,303,14,7.5,"22.2%",833,"33.8%","34.3%",294,"23.5%",0,0.51,0.17,0.22
"Route","LOUD","ADC",2,"100%","0%",7,5,5,2.4,"38.7%","22.6%","23.8%","0%",-59,-432,-2,8.6,"28.1%",549,"21.3%","21.0%",295,"23.5%",0,0.52,0.28,0.33
"scamber","Fluxo","Support",2,"50%","100%",0,7,13,1.9,"68.4%","0.0%","23.3%","0%",262,91,23.5,4.3,"12.4%",197,"10.0%","10.8%",161,"13.5%",0,1.29,0.58,0.23
"Seize","Los Grandes","Jungle",2,"0%","0%",3,10,9,1.2,"63.2%","15.8%","28.6%","0%",61,-126,-5.5,5.1,"13.1%",168,"10.8%","10.0%",152,"16.0%",1,0.23,0.22,0.29
"SMILEY","Vivo Keyd Stars","ADC",2,"50%","100%",8,5,13,4.2,"60.0%","22.9%","21.7%","0%",-269,-303,-0.5,8.4,"28.5%",693,"25.7%","26.7%",290,"23.8%",0,0.44,0.11,0.23
"Sting","Fluxo","Jungle",2,"50%","0%",4,6,10,2.3,"73.7%","21.1%","20.0%","0%",-290,-278,-3.5,5.3,"15.5%",291,"15.1%","16.6%",191,"17.2%",1,0.21,0.17,0.36
"SuperCleber","Los Grandes","Top",2,"0%","50%",4,5,3,1.4,"36.8%","21.1%","14.3%","0%",36,401,-3.5,8.8,"27.9%",392,"25.6%","27.2%",241,"24.9%",0,0.51,0.22,0.09
"Tay","INTZ","Top",2,"0%","50%",2,6,5,1.2,"53.8%","15.4%","26.1%","0%",-334,-173,-13,7.4,"24.7%",311,"13.8%","11.6%",207,"21.6%",0,0.44,0.23,0.16
"tinowns","LOUD","Middle",2,"100%","100%",9,1,10,19,"61.3%","29.0%","4.8%","0%",-92,57,0,9.3,"33.8%",751,"29.1%","29.5%",348,"27.0%",0,0.43,0.23,0.24
"TitaN","paiN Gaming","ADC",2,"100%","0%",17,5,7,4.8,"80.0%","56.7%","41.7%","50%",269,618,12,10.1,"31.5%",832,"36.1%","37.5%",383,"29.0%",0,0.52,0.18,0.32
"toucouille","Vivo Keyd Stars","Middle",2,"50%","50%",8,3,14,7.3,"62.9%","22.9%","13.0%","0%",620,810,17.5,8.2,"24.2%",740,"27.6%","30.1%",254,"21.2%",0,0.41,0.12,0.04
"Tutsz","FURIA","Middle",2,"100%","0%",4,1,9,13,"59.1%","18.2%","12.5%","100%",-162,-310,1,9.4,"28.0%",424,"22.8%","23.3%",290,"23.6%",1,0.31,0.23,0.26
"Wizer","paiN Gaming","Top",2,"100%","0%",3,2,17,10,"66.7%","10.0%","16.7%","50%",167,-162,-4,8.2,"22.8%",392,"17.3%","16.7%",263,"20.6%",0,0.39,0.24,0.24
"Yampi","INTZ","Jungle",2,"0%","0%",2,5,10,2.4,"92.3%","15.4%","21.7%","0%",-131,-417,-10,5.3,"17.0%",239,"9.9%","9.7%",162,"16.8%",0,0.22,0.19,0.37
"zay","FURIA","Support",2,"100%","50%",4,2,15,9.5,"86.4%","18.2%","25.0%","100%",120,205,-1.5,1.9,"6.2%",382,"20.6%","21.1%",176,"14.1%",0,2.38,0.38,1.17
