"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aegis","RED Canids","Jungle",2,"50%","100%",9,8,16,3.1,"89.3%","32.1%","36.4%","100%",161,-312,-7.5,6,"19.4%",411,"21.5%","23.3%",236,"21.1%",0,0.29,0.27,0.22
"Aithusa","INTZ","Middle",2,"0%","50%",2,6,7,1.5,"69.2%","15.4%","26.1%","0%",-50,-109,-7.5,7.9,"28.2%",767,"33.2%","32.8%",236,"24.1%",0,0.46,0.17,0.15
"Ayu","FURIA","ADC",2,"100%","50%",8,2,9,8.5,"77.3%","36.4%","25.0%","100%",531,864,9.5,7.6,"19.3%",317,"16.8%","15.0%",272,"21.1%",0,0.46,0.28,0.15
"Brance","RED Canids","ADC",2,"50%","0%",8,2,12,10,"71.4%","28.6%","9.1%","50%",930,835,42.5,9.1,"30.1%",565,"29.6%","31.3%",312,"27.6%",0,0.44,0.16,0.36
"CarioK","paiN Gaming","Jungle",2,"100%","100%",2,3,27,9.7,"96.7%","6.7%","25.0%","100%",-222,-202,-8,5.3,"14.0%",246,"10.9%","10.9%",195,"14.9%",0,0.38,0.33,0.46
"Cavalo","Liberty","Support",2,"0%","100%",3,5,11,2.8,"70.0%","15.0%","11.4%","0%",-196,-15,4.5,1.4,"3.5%",135,"6.1%","5.7%",107,"11.4%",0,2.02,0.47,0.51
"Celo","Los Grandes","ADC",2,"0%","100%",6,8,8,1.8,"73.7%","31.6%","22.9%","0%",-708,-1180,-18,7.3,"24.2%",339,"22.1%","21.6%",222,"22.4%",0,0.42,0.16,0.42
"Ceos","KaBuM! Esports","Support",2,"50%","50%",2,7,8,1.4,"52.6%","10.5%","33.3%","50%",-284,-14,-1,1.4,"3.9%",230,"10.5%","10.1%",118,"10.4%",0,2.26,0.48,0.68
"Croc","LOUD","Jungle",2,"100%","100%",2,5,18,4,"64.5%","6.5%","23.8%","50%",-10,371,7.5,5.2,"14.7%",256,"10.0%","9.9%",191,"14.9%",0,0.34,0.33,0.21
"Damage","INTZ","Support",2,"0%","50%",1,3,9,3.3,"76.9%","7.7%","13.0%","0%",-95,202,1.5,0.9,"1.2%",123,"5.4%","4.5%",99,"10.2%",0,1.75,0.45,0.34
"Destroy","FURIA","Top",2,"100%","100%",4,2,7,5.5,"50.0%","18.2%","25.0%","50%",-3,-360,5.5,8.9,"24.8%",517,"27.6%","26.5%",280,"22.5%",0,0.48,0.3,0.25
"Disamis","Vivo Keyd Stars","Jungle",2,"50%","50%",5,4,20,6.3,"71.4%","14.3%","17.4%","50%",253,491,11.5,5.9,"17.1%",385,"15.9%","15.9%",216,"18.4%",0,0.26,0.21,0.4
"Drakehero","Liberty","Jungle",2,"0%","0%",0,10,13,1.3,"65.0%","0.0%","22.7%","0%",-23,126,1,5,"15.3%",215,"9.8%","9.7%",150,"16.1%",1,0.41,0.26,0.36
"dyNquedo","paiN Gaming","Middle",2,"100%","50%",6,1,11,17,"56.7%","20.0%","8.3%","50%",-46,138,1,9.9,"28.2%",533,"23.3%","24.0%",322,"24.4%",0,0.33,0.27,0.33
"Envy","Los Grandes","Middle",2,"0%","100%",5,4,7,3,"63.2%","26.3%","11.4%","0%",258,235,1.5,9.8,"32.9%",528,"33.8%","35.5%",273,"27.9%",0,0.46,0.18,0.21
"fNb","RED Canids","Top",2,"50%","50%",4,4,12,4,"57.1%","14.3%","18.2%","50%",113,-23,-7,7.1,"22.6%",383,"20.0%","18.2%",218,"19.5%",0,0.4,0.2,0.3
"Fuuu","Fluxo","Middle",2,"50%","0%",7,6,8,2.5,"78.9%","36.8%","20.0%","0%",55,3,2.5,8.7,"29.5%",554,"27.8%","26.0%",287,"25.6%",0,0.36,0.12,0.15
"Grevthar","RED Canids","Middle",2,"50%","50%",6,5,11,3.4,"60.7%","21.4%","22.7%","0%",-299,-197,-7.5,7.6,"25.0%",386,"20.2%","19.2%",241,"21.3%",0,0.28,0.22,0.29
"GUIGO","Vivo Keyd Stars","Top",2,"50%","50%",12,6,10,3.7,"62.9%","34.3%","26.1%","50%",107,-409,2.5,7.8,"27.5%",689,"25.5%","22.2%",312,"25.4%",0,0.37,0.19,0.14
"Hauz","KaBuM! Esports","Middle",2,"50%","50%",4,1,13,17,"89.5%","21.1%","4.8%","0%",372,185,8.5,8.6,"25.2%",712,"38.8%","44.1%",277,"26.6%",0,0.56,0.25,0.26
"Jojo","RED Canids","Support",2,"50%","0%",1,3,22,7.7,"82.1%","3.6%","13.6%","50%",-167,-99,-24.5,1.3,"2.9%",166,"8.7%","7.9%",117,"10.4%",0,1.78,0.34,0.32
"kabbie","Los Grandes","Support",2,"0%","50%",1,8,11,1.5,"63.2%","5.3%","22.9%","0%",34,-532,-2.5,1.1,"1.8%",117,"7.6%","5.7%",86,"8.8%",0,2.54,0.62,0.43
"Kiari","Fluxo","Top",2,"50%","50%",6,7,6,1.7,"63.2%","31.6%","23.3%","50%",-117,41,0.5,7.4,"22.9%",531,"27.9%","23.0%",273,"24.6%",0,0.45,0.13,0.16
"kojima","Fluxo","ADC",2,"50%","100%",2,4,11,3.3,"68.4%","10.5%","13.3%","0%",-594,-493,-40.5,5.2,"19.6%",370,"19.2%","23.7%",200,"19.2%",0,0.74,0.18,0.71
