"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aegis","RED Canids","Jungle",2,"50%","50%",2,8,19,2.6,"77.8%","7.4%","32.0%","50%",-103,59,3.5,5.7,"20.3%",414,"17.0%","17.6%",205,"18.6%",0,0.29,0.29,0.23
"Aithusa","INTZ","Middle",2,"0%","50%",5,7,4,1.3,"81.8%","45.5%","21.9%","0%",59,75,-2.5,8.2,"24.1%",494,"25.6%","25.5%",247,"25.1%",0,0.38,0.2,0.32
"Ayu","FURIA","ADC",1,"0%","0%",3,4,5,2,"66.7%","25.0%","16.7%","0%",-99,-87,2,7.8,"25.4%",556,"23.0%","24.9%",223,"21.3%",0,0.47,0.18,0.16
"Brance","RED Canids","ADC",2,"50%","50%",13,2,5,9,"66.7%","48.1%","8.0%","0%",-94,-224,1.5,8.9,"29.5%",859,"33.5%","34.9%",320,"29.5%",0,0.47,0.13,0.52
"CarioK","paiN Gaming","Jungle",2,"100%","50%",3,2,33,18,"78.3%","6.5%","14.3%","0%",-108,-91,0,5.6,"16.8%",358,"12.8%","11.3%",220,"16.1%",2,0.27,0.26,0.43
"Cavalo","Liberty","Support",1,"0%","100%",1,5,3,0.8,"50.0%","12.5%","33.3%","0%",-430,-426,-4,1.5,"6.1%",147,"7.3%","8.1%",106,"10.7%",0,1.3,0.52,0.41
"Ceos","KaBuM! Esports","Support",2,"100%","0%",1,9,30,3.4,"79.5%","2.6%","40.9%","50%",-183,239,3,1.2,"2.8%",239,"10.6%","8.6%",135,"10.8%",0,1.75,0.52,0.39
"Croc","LOUD","Jungle",1,"100%","100%",0,5,14,2.8,"82.4%","0.0%","41.7%","0%",-80,-141,3,4.4,"12.7%",412,"12.8%","11.9%",147,"12.8%",0,0.24,0.22,0.29
"Damage","INTZ","Support",2,"0%","50%",1,7,7,1.1,"72.7%","9.1%","21.9%","0%",168,-171,-1.5,1,"1.5%",176,"9.2%","7.6%",92,"9.2%",0,1.63,0.45,0.38
"Destroy","FURIA","Top",1,"0%","0%",5,3,6,3.7,"91.7%","41.7%","12.5%","100%",986,327,19,8.1,"25.9%",817,"33.7%","34.4%",271,"25.8%",0,0.57,0.36,0.31
"Disamis","Vivo Keyd Stars","Jungle",1,"0%","0%",1,5,4,1,"83.3%","16.7%","19.2%","0%",-20,-317,-9,4.7,"14.4%",251,"14.3%","10.7%",143,"16.0%",0,0.21,0.21,0.14
"Drakehero","Liberty","Jungle",1,"0%","0%",2,3,4,2,"75.0%","25.0%","20.0%","0%",286,24,-10,4.6,"11.1%",194,"9.6%","9.0%",179,"18.0%",0,0.33,0.22,0.33
"dyNquedo","paiN Gaming","Middle",2,"100%","100%",14,3,24,12.7,"82.6%","30.4%","21.4%","0%",-569,113,1,8.1,"24.7%",733,"26.9%","28.3%",317,"23.2%",0,0.4,0.31,0.21
"fNb","RED Canids","Top",2,"50%","50%",7,5,8,3,"55.6%","25.9%","20.0%","0%",-126,345,-1,7.7,"22.8%",512,"20.1%","19.6%",247,"21.5%",0,0.48,0.23,0.14
"frostyy","RED Canids","Support",1,"0%","0%",1,3,10,3.7,"91.7%","8.3%","17.6%","0%",-176,424,6,0.9,"1.8%",198,"6.9%","6.4%",106,"10.2%",0,1.98,0.51,0.2
"Fuuu","Fluxo","Middle",2,"50%","0%",7,2,11,9,"72.0%","28.0%","9.1%","50%",293,-15,3.5,8.9,"27.3%",576,"26.8%","26.3%",281,"25.0%",0,0.45,0.26,0.23
"Grevthar","RED Canids","Middle",2,"50%","100%",4,5,15,3.8,"70.4%","14.8%","20.0%","50%",-396,-415,-10,8,"25.4%",547,"20.8%","20.9%",229,"20.4%",0,0.61,0.28,0.2
"GUIGO","Vivo Keyd Stars","Top",1,"0%","100%",1,4,0,0.3,"16.7%","16.7%","15.4%","0%",-735,-132,-3,9.1,"34.1%",448,"25.7%","26.6%",231,"25.8%",0,0.32,0.04,0.18
"Hauz","KaBuM! Esports","Middle",2,"100%","100%",8,5,22,6,"76.9%","20.5%","22.7%","50%",-277,-132,-3.5,8.1,"25.6%",681,"28.2%","29.2%",287,"22.6%",0,0.24,0.17,0.16
"Jojo","RED Canids","Support",1,"100%","0%",0,2,12,6,"80.0%","0.0%","25.0%","0%",430,426,4,1.1,"2.3%",232,"10.5%","7.5%",122,"9.9%",0,1.6,0.41,0.48
"Kiari","Fluxo","Top",2,"50%","50%",7,5,6,2.6,"52.0%","28.0%","22.7%","0%",-128,-105,-8,8.6,"25.9%",547,"25.6%","26.5%",272,"23.6%",0,0.3,0.16,0.17
"kojima","Fluxo","ADC",2,"50%","50%",5,5,10,3,"60.0%","20.0%","22.7%","50%",117,80,-0.5,9.1,"30.2%",491,"22.8%","24.4%",277,"24.3%",0,0.4,0.22,0.47
"Kuri","paiN Gaming","Support",2,"100%","0%",3,2,39,21,"91.3%","6.5%","14.3%","50%",-16,-233,1.5,1.2,"1.9%",223,"7.7%","7.6%",160,"11.8%",0,2.03,0.46,0.22
"Lonely","KaBuM! Esports","Top",2,"100%","50%",14,4,13,6.8,"69.2%","35.9%","18.2%","50%",61,71,-5,7.8,"24.0%",630,"26.4%","26.4%",307,"24.0%",0,0.47,0.2,0.25
"Makes","Liberty","Top",1,"0%","100%",4,3,1,1.7,"62.5%","50.0%","20.0%","100%",621,-196,10,8.3,"26.3%",751,"37.1%","32.4%",262,"26.4%",0,0.45,0.11,0.15
"Malrang","KaBuM! Esports","Jungle",2,"100%","50%",6,3,25,10.3,"79.5%","15.4%","13.6%","50%",-109,-174,-9,5.1,"16.1%",261,"10.6%","9.9%",214,"16.8%",1,0.37,0.38,0.38
"micaO","Liberty","ADC",1,"0%","100%",0,2,2,1,"25.0%","0.0%","13.3%","0%",-180,-303,-10,8.1,"25.1%",464,"23.0%","24.8%",192,"19.3%",0,0.52,0.07,0.11
"Mir","FURIA","Jungle",1,"0%","100%",3,8,7,1.3,"83.3%","25.0%","33.3%","100%",480,399,14,4.7,"12.7%",417,"17.2%","15.7%",179,"17.0%",1,0.44,0.44,0.29
"Netuno","KaBuM! Esports","ADC",2,"100%","50%",10,1,15,25,"64.1%","25.6%","4.5%","0%",-24,-40,-1.5,8.9,"31.5%",580,"24.2%","25.9%",330,"25.8%",0,0.46,0.2,0.21
"NinjaKiwi","INTZ","ADC",2,"0%","50%",3,6,4,1.2,"63.6%","27.3%","18.8%","0%",-30,191,3.5,8.9,"28.4%",683,"35.4%","36.7%",235,"23.7%",0,0.51,0.18,0.25
"Piloto","Liberty","Middle",1,"0%","0%",1,2,5,3,"75.0%","12.5%","13.3%","0%",317,421,10,9,"31.3%",467,"23.1%","25.8%",254,"25.6%",0,0.26,0.11,0.33
"ProDelta","Vivo Keyd Stars","Support",1,"0%","100%",0,7,3,0.4,"50.0%","0.0%","26.9%","0%",-332,357,1,1.1,"1.9%",129,"7.4%","5.1%",86,"9.7%",0,1.34,0.53,0.32
"RedBert","LOUD","Support",1,"100%","100%",0,0,15,15,"88.2%","0.0%","0.0%","0%",176,-424,-6,0.7,"1.3%",260,"8.0%","7.8%",97,"8.4%",0,1.68,0.4,0.26
"Robo","LOUD","Top",1,"100%","0%",3,5,8,2.2,"64.7%","17.6%","41.7%","0%",-370,-493,-8,7.1,"24.6%",606,"18.7%","18.0%",214,"18.6%",0,0.49,0.15,0.29
"Route","LOUD","ADC",1,"100%","0%",5,2,8,6.5,"76.5%","29.4%","16.7%","0%",367,751,7,9.1,"32.6%",911,"28.2%","30.2%",341,"29.6%",0,0.64,0.24,0.51
"scamber","Fluxo","Support",2,"50%","100%",4,6,14,3,"72.0%","16.0%","27.3%","100%",125,56,-2,1,"1.7%",169,"7.8%","5.5%",123,"10.7%",0,1.82,0.54,0.45
"SMILEY","Vivo Keyd Stars","ADC",1,"0%","100%",1,5,1,0.4,"33.3%","16.7%","19.2%","0%",-726,222,11,8.1,"23.2%",333,"19.1%","21.1%",203,"22.7%",0,0.49,0.14,0.35
"Sting","Fluxo","Jungle",2,"50%","100%",2,4,14,4,"64.0%","8.0%","18.2%","100%",462,277,6,5.8,"15.0%",366,"16.9%","17.2%",188,"16.4%",0,0.25,0.17,0.39
"Tay","INTZ","Top",2,"0%","100%",2,6,3,0.8,"45.5%","18.2%","18.8%","0%",-522,-91,0.5,9.4,"29.5%",371,"19.0%","19.4%",267,"27.0%",0,0.37,0.17,0.22
"tinowns","LOUD","Middle",1,"100%","0%",9,0,5,14,"82.4%","52.9%","0.0%","0%",474,408,10,8.6,"28.9%",1044,"32.3%","32.0%",353,"30.6%",0,0.31,0.22,0.46
"TitaN","paiN Gaming","ADC",2,"100%","50%",19,4,21,10,"87.0%","41.3%","28.6%","50%",350,-299,-8,9.7,"34.9%",991,"35.3%","38.2%",396,"29.0%",0,0.5,0.19,0.3
"toucouille","Vivo Keyd Stars","Middle",1,"0%","0%",3,5,0,0.6,"50.0%","50.0%","19.2%","0%",830,67,1,8.1,"26.4%",585,"33.5%","36.4%",230,"25.7%",0,0.35,0.07,0.14
"Tutsz","FURIA","Middle",1,"0%","0%",1,4,7,2,"66.7%","8.3%","16.7%","100%",157,-147,2,9.5,"34.0%",532,"22.0%","21.3%",282,"26.8%",0,0.29,0.23,0.44
"Wizer","paiN Gaming","Top",2,"100%","0%",7,3,17,8,"52.2%","15.2%","21.4%","0%",464,27,4.5,7.5,"21.7%",492,"17.3%","14.6%",272,"19.9%",0,0.48,0.26,0.19
"Yampi","INTZ","Jungle",2,"0%","0%",0,6,7,1.2,"63.6%","0.0%","18.8%","0%",-476,-53,0.5,5.5,"16.5%",209,"10.8%","10.8%",147,"14.9%",0,0.35,0.25,0.25
