"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Kuri","paiN Gaming","Support",2,"50%","0%",2,3,26,9.3,"100.0%","7.1%","13.0%","50%",163,85,-4.5,0.9,"1.7%",166,"6.8%","6.3%",126,"10.4%",0,2,0.45,0.34
"Lonely","KaBuM! Esports","Top",2,"100%","50%",1,2,20,10.5,"53.8%","2.6%","16.7%","0%",-380,-412,-9.5,7.6,"21.3%",360,"12.3%","12.2%",232,"17.5%",0,0.46,0.18,0.21
"Makes","Liberty","Top",2,"50%","50%",13,9,7,2.2,"76.9%","50.0%","25.7%","0%",516,663,4.5,7.9,"22.3%",598,"27.9%","23.9%",300,"24.5%",0,0.44,0.11,0.11
"Malrang","KaBuM! Esports","Jungle",2,"100%","50%",8,2,25,16.5,"84.6%","20.5%","16.7%","50%",227,52,1.5,5.5,"15.0%",355,"10.9%","11.2%",225,"16.7%",0,0.52,0.34,0.31
"micaO","Liberty","ADC",2,"50%","0%",3,8,9,1.5,"46.2%","11.5%","22.9%","0%",-170,324,10.5,8.1,"23.1%",409,"19.1%","20.8%",246,"21.3%",0,0.45,0.09,0.22
"Mir","FURIA","Jungle",2,"0%","50%",1,10,25,2.6,"89.7%","3.4%","27.8%","50%",-168,-93,1.5,4.6,"11.8%",220,"11.5%","11.7%",148,"13.9%",0,0.46,0.45,0.38
"Netuno","KaBuM! Esports","ADC",2,"100%","0%",15,4,14,7.3,"74.4%","38.5%","33.3%","0%",238,89,5,9.1,"31.6%",843,"28.7%","27.5%",364,"27.0%",0,0.59,0.1,0.31
"NinjaKiwi","INTZ","ADC",2,"0%","100%",2,7,5,1,"87.5%","25.0%","20.0%","50%",87,494,14.5,9.2,"36.3%",458,"29.5%","31.3%",260,"30.1%",0,0.39,0.14,0.38
"Piloto","Liberty","Middle",2,"50%","100%",4,2,11,7.5,"57.7%","15.4%","5.7%","0%",69,236,-2.5,10,"32.3%",670,"31.1%","33.1%",309,"25.6%",0,0.36,0.19,0.38
"ProDelta","Vivo Keyd Stars","Support",2,"100%","50%",0,6,23,3.8,"71.9%","0.0%","30.0%","50%",-463,180,8,1.1,"1.7%",154,"6.6%","5.4%",148,"10.8%",0,2.25,0.57,0.34
"RedBert","LOUD","Support",2,"100%","50%",2,9,25,3,"64.3%","4.8%","28.1%","50%",-133,191,0.5,1,"2.1%",108,"4.3%","3.3%",114,"9.2%",0,2.11,0.55,0.45
"Robo","LOUD","Top",2,"100%","50%",11,9,14,2.8,"59.5%","26.2%","28.1%","0%",505,519,15,7.7,"23.5%",522,"22.1%","19.5%",289,"23.5%",0,0.53,0.2,0.26
"Route","LOUD","ADC",2,"100%","100%",12,5,16,5.6,"66.7%","28.6%","15.6%","50%",-208,-368,-17,8.6,"29.6%",722,"25.9%","27.6%",331,"25.5%",0,0.86,0.24,0.3
"scamber","Fluxo","Support",2,"0%","0%",1,7,13,2,"66.7%","4.8%","19.4%","50%",230,-405,-3,1.1,"2.9%",104,"5.5%","4.3%",107,"10.0%",0,1.75,0.54,0.5
"Seize","Los Grandes","Jungle",1,"100%","100%",3,0,10,13,"56.5%","13.0%","0.0%","0%",436,462,6,6.2,"21.0%",316,"12.7%","14.1%",237,"17.4%",1,0.44,0.36,0.58
"SMILEY","Vivo Keyd Stars","ADC",2,"100%","50%",8,3,9,5.7,"53.1%","25.0%","15.0%","50%",113,90,11,9.1,"25.3%",427,"16.9%","17.4%",324,"23.4%",0,0.38,0.09,0.54
"Sting","Fluxo","Jungle",2,"0%","100%",3,13,13,1.2,"76.2%","14.3%","36.1%","50%",25,-47,-9,5.5,"16.0%",291,"14.6%","14.5%",188,"17.4%",1,0.25,0.24,0.45
"SuperCleber","Los Grandes","Top",1,"100%","0%",12,0,8,20,"87.0%","52.2%","0.0%","0%",1632,1953,38,6.9,"18.5%",852,"34.2%","35.3%",356,"26.1%",0,0.55,0.25,0.07
"Tay","INTZ","Top",2,"0%","50%",0,9,1,0.1,"12.5%","0.0%","25.7%","0%",-1051,-1039,-23,6.5,"23.1%",235,"14.6%","12.2%",153,"17.6%",0,0.43,0.2,0.12
"tinowns","LOUD","Middle",2,"100%","0%",9,3,26,11.7,"83.3%","21.4%","9.4%","0%",-124,-162,2.5,8.9,"28.6%",771,"32.0%","33.3%",308,"24.8%",1,0.42,0.17,0.36
"TitaN","paiN Gaming","ADC",2,"50%","100%",11,3,14,8.3,"89.3%","39.3%","13.0%","50%",410,135,0,9.8,"31.5%",670,"27.9%","28.9%",335,"27.6%",0,0.64,0.32,0.44
"toucouille","Vivo Keyd Stars","Middle",2,"100%","50%",13,4,12,6.3,"78.1%","40.6%","20.0%","50%",-142,105,6.5,9.4,"29.6%",978,"40.7%","45.5%",380,"27.6%",0,0.45,0.12,0.19
"Tutsz","FURIA","Middle",2,"0%","50%",8,5,12,4,"69.0%","27.6%","13.9%","0%",54,-55,-1.5,8.6,"27.7%",537,"25.6%","25.6%",263,"24.6%",0,0.33,0.2,0.28
"Wizer","paiN Gaming","Top",2,"50%","50%",6,9,11,1.9,"60.7%","21.4%","39.1%","50%",-632,-853,-12.5,8.8,"27.0%",553,"22.9%","21.5%",282,"23.3%",0,0.48,0.24,0.28
"Yampi","INTZ","Jungle",2,"0%","50%",1,10,5,0.6,"75.0%","12.5%","28.6%","0%",-317,-513,-10,4.8,"12.8%",150,"10.4%","8.9%",146,"16.9%",0,0.36,0.3,0.37
"zay","FURIA","Support",2,"0%","50%",2,6,22,4,"82.8%","6.9%","16.7%","0%",-97,74,3.5,1.1,"2.9%",154,"8.5%","8.4%",105,"9.6%",0,2.76,0.54,0.5
