"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aegis","RED Canids","Jungle",1,"0%","0%",2,6,2,0.7,"66.7%","33.3%","26.1%","0%",-253,-76,2,6.5,"22.5%",328,"15.7%","16.9%",199,"19.8%",0,0.27,0.25,0.16
"Aithusa","INTZ","Middle",2,"0%","50%",2,5,3,1,"62.5%","25.0%","14.3%","0%",-378,-392,-15,7.5,"23.8%",430,"27.5%","32.0%",192,"22.3%",0,0.45,0.23,0.29
"Ayu","FURIA","ADC",2,"0%","0%",10,5,12,4.4,"75.9%","34.5%","13.9%","0%",-32,-91,6.5,9.4,"31.8%",484,"24.1%","23.9%",298,"27.5%",0,0.41,0.17,0.36
"Brance","RED Canids","ADC",1,"0%","100%",1,5,2,0.6,"50.0%","16.7%","21.7%","0%",-167,296,0,6.7,"21.2%",316,"15.1%","14.4%",223,"22.1%",0,0.98,0.08,0.33
"CarioK","paiN Gaming","Jungle",2,"50%","50%",3,7,19,3.1,"78.6%","10.7%","30.4%","0%",-293,-282,-10.5,5.7,"15.4%",351,"14.5%","15.5%",186,"15.3%",0,0.4,0.34,0.38
"Cavalo","Liberty","Support",2,"50%","100%",3,8,14,2.1,"65.4%","11.5%","22.9%","0%",67,-350,0.5,1.4,"3.9%",282,"13.3%","15.3%",136,"11.9%",0,2.04,0.42,0.66
"Celo","Los Grandes","ADC",1,"100%","0%",2,1,9,11,"47.8%","8.7%","33.3%","100%",4,-1029,-35,7.6,"30.2%",399,"16.0%","15.2%",281,"20.6%",0,0.47,0.15,0.69
"Ceos","KaBuM! Esports","Support",2,"100%","100%",0,1,35,35,"89.7%","0.0%","8.3%","0%",58,560,-5,1.4,"3.6%",155,"6.1%","4.5%",145,"10.9%",0,2.07,0.48,0.45
"Croc","LOUD","Jungle",2,"100%","50%",8,6,24,5.3,"76.2%","19.0%","18.8%","50%",391,352,5,5.3,"16.2%",373,"15.6%","16.4%",209,"17.0%",2,0.51,0.26,0.47
"Damage","INTZ","Support",2,"0%","50%",3,4,4,1.8,"87.5%","37.5%","11.4%","50%",424,-375,-3.5,1.2,"4.1%",245,"18.0%","15.6%",112,"13.1%",0,1.96,0.41,0.45
"Destroy","FURIA","Top",2,"0%","50%",8,10,14,2.2,"75.9%","27.6%","27.8%","50%",-389,-329,-7,7.9,"25.8%",597,"30.3%","30.3%",261,"24.4%",0,0.32,0.19,0.42
"Disamis","Vivo Keyd Stars","Jungle",2,"100%","0%",3,3,17,6.7,"62.5%","9.4%","15.0%","50%",-27,315,13.5,6.6,"18.8%",269,"11.3%","11.0%",242,"17.6%",0,0.39,0.3,0.34
"Drakehero","Liberty","Jungle",2,"50%","50%",3,8,12,1.9,"57.7%","11.5%","22.9%","0%",70,22,4,5.9,"18.4%",184,"8.5%","6.9%",197,"16.7%",0,0.38,0.33,0.43
"dyNquedo","paiN Gaming","Middle",2,"50%","50%",6,1,16,22,"78.6%","21.4%","4.3%","0%",2,-20,1.5,8.5,"24.5%",672,"27.8%","27.9%",284,"23.4%",0,0.43,0.35,0.43
"Envy","Los Grandes","Middle",1,"100%","0%",6,1,8,14,"60.9%","26.1%","33.3%","0%",279,108,8,9.1,"27.8%",705,"28.3%","27.6%",356,"26.2%",0,0.55,0.25,0.18
"fNb","RED Canids","Top",1,"0%","100%",2,5,4,1.2,"100.0%","33.3%","21.7%","0%",42,92,1,7,"21.5%",498,"23.8%","23.5%",217,"21.6%",0,0.41,0.25,0.19
"Fuuu","Fluxo","Middle",2,"0%","50%",9,5,6,3,"71.4%","42.9%","13.9%","50%",296,207,1.5,8.8,"30.0%",457,"22.6%","17.8%",301,"28.5%",0,0.49,0.24,0.15
"Grevthar","RED Canids","Middle",1,"0%","100%",0,5,4,0.8,"66.7%","0.0%","21.7%","0%",-612,-291,-7,7.4,"23.4%",371,"17.7%","16.2%",198,"19.7%",0,0.57,0.27,0.14
"GUIGO","Vivo Keyd Stars","Top",2,"100%","50%",8,4,11,4.8,"59.4%","25.0%","20.0%","0%",553,452,4,8.2,"24.5%",585,"24.6%","20.8%",286,"20.7%",0,0.32,0.17,0.2
"Hauz","KaBuM! Esports","Middle",2,"100%","50%",15,3,22,12.3,"94.9%","38.5%","25.0%","50%",391,172,6.5,9.2,"28.4%",1153,"42.0%","44.6%",365,"27.9%",0,0.55,0.21,0.15
"Jojo","RED Canids","Support",1,"0%","0%",1,2,3,2,"66.7%","16.7%","8.7%","0%",251,-267,9,2.9,"11.4%",582,"27.8%","29.1%",168,"16.8%",0,1.34,0.44,0.57
"kabbie","Los Grandes","Support",1,"100%","100%",0,1,17,17,"73.9%","0.0%","33.3%","100%",-748,347,-2,1.1,"2.5%",219,"8.8%","7.8%",131,"9.6%",0,1.67,0.47,0.29
"Kiari","Fluxo","Top",2,"0%","50%",3,9,7,1.1,"47.6%","14.3%","25.0%","0%",41,-24,9,7.4,"20.2%",670,"35.0%","35.4%",214,"19.7%",0,0.4,0.14,0.25
"kojima","Fluxo","ADC",2,"0%","50%",5,2,6,5.5,"52.4%","23.8%","5.6%","0%",-356,-306,-13,8.6,"30.8%",447,"22.3%","28.1%",264,"24.4%",0,0.26,0.15,0.37
